Chromosome	173.1	178.1	275.1	282.1	288.1	575.1
Ld01	1.952877558	1.978727348	1.898818253	1.920937424	1.928550861	1.88474262
Ld02	3.06281665	2.196618364	3.870578105	2.066193571	2.603851204	2.338353967
Ld03	2.041303262	2.103267052	2.015858657	2.023093007	1.996204806	1.985136372
Ld04	1.962443377	1.94201673	1.942467694	1.963673181	1.959966541	2.099526107
Ld05	2.000661843	2.357249043	1.989620138	2.927021448	3.557947515	2.874035554
Ld06	2.055352229	2.460097778	2.005578476	2.039606116	2.162673029	2.273450424
Ld07	2.027751958	2	2.000585367	2.027833513	2.891677975	1.992786414
Ld08	3.000165563	2.961202789	3.917241319	2.005540718	2.936288852	2.948694811
Ld09	2.974654937	2.863205199	2.944075646	2.985002158	2.290226936	2.797671324
Ld10	1.978653329	1.936787894	2.000971595	2.019144594	1.928134384	1.972590196
Ld11	2.011121827	2.024346792	2.873607689	1.967845642	2.506697174	2.208190417
Ld12	2.979085361	2.020921695	2.020855227	2.051815635	2.012474219	2.009707933
Ld13	1.978101843	2.342355742	2.813071142	2.217759329	2.656732622	2.558620709
Ld14	1.967507024	1.890996012	2.631168301	1.935930726	1.898686462	1.910347999
Ld15	2	2.126900211	2	2.012378574	2.827006722	1.96039721
Ld16	3.017813555	2.112644429	2.985917284	3.026531982	2.018421711	2.528253658
Ld17	2.071774621	1.987560279	2.041705599	2.065604246	2	2.050683411
Ld18	1.921063653	1.879724289	1.942180503	1.950962694	1.894626131	1.928650293
Ld19	1.875522667	1.826929363	1.867603912	1.897532704	1.884896373	1.875810135
Ld20	2.909813851	2.755526822	1.989504418	2	2.856536061	2.786567304
Ld21	1.976771948	1.933370232	1.96324263	1.986153966	1.91461951	1.965602703
Ld22	1.942858575	1.841894258	1.9137595	1.923650503	1.853870836	1.892814632
Ld23	2.963215774	3.071680108	2.958277338	2.985760731	2.787559623	3.001129983
Ld24	1.975581547	1.907374587	1.952007841	1.990365577	1.910466813	1.968425309
Ld25	1.936189996	2.085420158	1.930530609	1.958884663	1.894450923	1.945195436
Ld26	2.143111768	2.476489561	2.105318505	2.918740964	2.684220139	2.921662652
Ld27	1.902250911	1.836554947	1.893738885	1.936337438	1.870051739	1.904943482
Ld28	1.917304648	1.859662441	1.911707543	1.940090266	1.879788649	1.914318704
Ld29	1.891446635	1.867268662	1.916182896	1.927206996	1.874749842	2.013985961
Ld30	1.890256609	1.830829109	1.889482581	1.921780587	1.853607705	1.910299621
Ld31	3.844124622	3.797595623	3.859787616	3.911639613	3.785193882	3.886014976
Ld32	1.993556343	1.851674944	1.890421947	1.923267793	1.85499118	1.884102914
Ld33	2.76920359	1.993399912	3.501062084	2.241467593	2.748737034	2
Ld34	1.852529655	1.812140736	1.856872331	1.901637213	1.831737109	1.870354967
Ld35	2.614009364	2.135397239	2.261866031	1.947994108	2.058008097	2.163778565
Ld36	1.806194954	1.762322602	1.817314066	1.860419657	1.771142273	1.827767944
Ld37	2.399496182	2.320293433	1.942187359	2.24312577	2.329100124	2.80265085
